scene,sr,peak,rms,mono_rms,mean,render_seconds
0,44100,0.938882,0.240071,0.223205,0.00361841,0.518395
1,44100,0.98,0.218553,0.197225,-0.00246302,3.93798
2,44100,0.27385,0.0486563,0.0441653,-0.000766288,0.263392
0,48000,0.955365,0.239627,0.22283,0.00357617,0.728892
1,48000,0.98,0.218798,0.197467,-0.00232887,4.27095
2,48000,0.276709,0.0484969,0.04402,-0.000946901,0.270518
0,96000,0.962761,0.239896,0.223019,0.0037637,1.18947
1,96000,0.98,0.217773,0.196381,-0.00225983,7.64536
2,96000,0.209193,0.0479958,0.043519,-0.000623451,0.533017
